,Sentiment,Tweet
51,positive,Donald Trump will impose major sanctions against North Korea after missile launch D30
52,negative,RT White House bars one of few black journalists from attending Christmas party
53,positive,RT Siskind Let this stuff pour out until we are rid of this predator Donald Trump singled out a young socialite at his club at Ma
54,neutral,RT I see Trump has tweeted a video of a supposed Muslim beating up a Dutch boy using crutches the video is NOT of a Musli
55,negative,RT calls Donald Trump a purveyor of hate after Britain First retweets
56,negative,One thing cannot be denied with regards to Islamic jihad in the UK is that we re in a real mess To give us a cha
57,positive,RT Donald Trump s day so far Forgets he s also a sexual predator while attacking Matt Lauer Posts white supremacist vi
58,positive,RT Donald Trump has hit back at Theresa May after she condemned him for retweeting far right videos http
59,positive,RT Donald Trump s day so far Forgets he s also a sexual predator while attacking Matt Lauer Posts white supremacist vi
60,negative,Donald Trump is the single biggest threat to this country out there Not Korea not Islam not Isis not u
61,negative,RT It has a lot of competition but Theresa May s decision to offer Donald Trump a state visit to the UK less than a week a
62,negative,RT Prince Harry says Donald Trump is not welcome at his wedding Trump is a serious threat to human rights
63,positive,RT I m old enough to remember when Trump was going to be the great saviour of Brexit Britain brexitshambles
64,positive,RT Steve Bell on Donald Trump and Britain First cartoon
65,negative,RT Dear By allowing Donald Trump to use his massive presence on here to share anti Muslim hate videos created by a
66,negative,RT 7 thugs shout f k Donald Trump before viciously attacking man in Austin Racist hate crime
67,negative,RT President Trump lashes out at the wrong Theresa May on Twitter
68,negative,RT Donald Trump Jr President Trump s eldest son will speak with the House Intelligence Committee behind closed doors over his cont
69,positive,RT First he came for the EPA Then he came for Education Then he came for Health Care Then he came for Trans in Military The
70,positive,RT Emotionally he s a mess But politically he s in control The media has spent weeks focusing on sexual misconduct other than h
71,neutral,RT WATCH Jayda appeals for Donald Trump s help
72,negative,RT Proving how utterly petty thin skinned and small the trump White House is they ve decided NOT to invite tough reporter
73,neutral,
74,negative,RT Latest reason why Donald Trump is the worst president in modern history he propagates hate speech against Muslims to mi
75,negative,RT Britain First is a vile hate fuelled organisation whose views should be condemned not amplified h
76,negative,RT White House bars one of few black journalists from attending Christmas party
77,positive,Sometimes I can t believe that on top of all of it his name is Donald Trump
78,neutral,RT Donald Trump is now simultaneously feuding with CNN MSNBC Time Magazine Access Hollywood Elizabeth Warren J
79,negative,RT What Donald Trump did today was beyond abhorrent but at least it means that he will now never be granted a state visit to
80,negative,RT Dear By allowing Donald Trump to use his massive presence on here to share anti Muslim hate videos created by a
81,negative,RT Proving how utterly petty thin skinned and small the trump White House is they ve decided NOT to invite tough reporter
82,neutral,So Donald Trump rt s some videos that are against twitter s rules But yet his account won t be suspended will it
83,neutral,RT Hi may in case you hadn t noticed Donald Trump is promoting British neo Nazis do you have anything to say what
84,neutral,RT Trump s Pocahontas punchline ignores the violence native women face every day
85,negative,RT Donald Trump has posted anti muslim propaganda on Twitter so I believe I should post a series of videos showing charity an
86,negative,RT Dear By allowing Donald Trump to use his massive presence on here to share anti Muslim hate videos created by a
87,neutral,Quand Donald Trump diffuse des intox islamophobes
88,negative,RT Prince Harry says Donald Trump is not welcome at his wedding Trump is a serious threat to human rights
89,neutral,RT Once again the BBC wheels out the Muslim Council of Britain to condemn a Trump retweet The MCB for starters has a deputy
90,positive,I want all the women to come forward that Donald Trump sexual harass Please
91,negative,RT But of course Donald Trump has to end his absolutely horrible day in Twitter with a good ol Crooked Hillary tweet
92,neutral,Trump s conspiracy theory delusions will likely lead to nuclear war with North Korea and his belief that the Acces
93,positive,RT The group Trump retweeted videos from Britain First has threatened militant direct action against elected Muslims op
94,neutral,RT Donald Trump calling Elizabeth Warren Pocahontas is offensive but as The DailyShow points out it s also a complicat
95,negative,nonymous Is Taking Down Donald Trump On April 1 And There Is A Way You Can Be Part Of It
96,negative,RT Latest reason why Donald Trump is the worst president in modern history he propagates hate speech against Muslims to mi
97,negative,RT Latest reason why Donald Trump is the worst president in modern history he propagates hate speech against Muslims to mi
98,negative,RT Dear By allowing Donald Trump to use his massive presence on here to share anti Muslim hate videos created by a
99,positive,RT I completely condemn Donald Trump s tweets this morning and would call on all politicians to do the same There is no pl
